,Mkt-RF,SMB,HML,RF,MOM
20170804,0.09,-1.74,0.81,0.021,-0.04
20170811,-1.52,-0.98,-0.97,0.021,0.396
20170818,-0.67,-0.75,-0.27,0.021,0.198
20170825,0.82,0.55,0.69,0.021,0.068
20170901,1.61,1.41,-1.49,0.024,0.042
20170908,-0.77,0.19,-1.38,0.024,0.1
20170915,1.7,0.7,1.83,0.024,-0.136
20170922,0.39,0.85,1.57,0.024,-0.178
20170929,0.91,2.16,0.65,0.024,-0.262
20171006,1.28,0.15,-0.21,0.021,0.332
20171013,0.03,-0.65,-0.12,0.021,0.294
20171020,0.91,-0.8,0.72,0.021,0.26
20171027,0.25,-0.62,0.1,0.021,0.058
20171103,0.19,-1.19,-0.4,0.021,0.342
20171110,-0.41,-1.05,-0.97,0.021,0.15
20171117,0.21,1.14,0.08,0.021,-0.078
20171124,1.04,1.11,-0.82,0.021,0.024
20171201,1.62,-0.89,2.21,0.022,0.175
20171208,0.3,-1.47,0.11,0.022,-0.94
20171215,0.81,-0.25,-0.73,0.022,0.356
20171222,0.54,0.77,0.48,0.022,0.122
20171229,-0.37,0.02,-0.22,0.022,-0.245
20180105,2.54,-0.67,-0.43,0.028,-0.0175
20180112,1.81,0.38,1.04,0.028,0.026
20180119,0.84,-0.66,-0.41,0.028,0.005
20180126,2.05,-1.5,-1.1,0.028,0.298
20180202,-3.81,-0.51,-0.14,0.028,0.186
20180209,-5.09,1.01,0.09,0.028,0.07
20180216,4.51,0.11,-0.54,0.028,0.174
20180223,0.48,0.1,-0.59,0.028,0.24
20180302,-1.74,1.05,-0.83,0.029,0.286
20180309,3.6,0.36,-0.18,0.029,-0.126
20180316,-1.21,0.87,-0.12,0.029,0.234
20180323,-5.82,1.67,-0.2,0.029,0.11
20180329,1.8,-1.09,0.81,0.029,0.198
20180406,-1.38,0.56,0.65,0.036,-0.6475
20180413,2.05,1,-1.04,0.036,-0.09
20180420,0.73,0.04,0.5,0.036,0.06
20180427,-0.29,-0.54,0.43,0.036,0.304
20180504,-0.16,1.06,-1.29,0.035,-0.016
20180511,2.43,0.4,-0.25,0.035,0.342
20180518,-0.22,2.49,-0.06,0.035,0.064
20180525,0.22,-0.28,-0.4,0.035,0.192
20180601,0.6,1.26,-1.2,0.034,-0.0675
20180608,1.68,0.44,-0.18,0.034,0.268
20180615,0.21,0.89,-2.23,0.034,-0.25
20180622,-0.85,1.34,0.23,0.034,-0.004
20180629,-1.6,-1.29,-0.02,0.034,-0.488
20180706,1.65,1.77,-1.01,0.04,0.224
20180713,1.39,-1.69,-1.22,0.04,-0.1
20180720,0.14,-0.02,0.65,0.04,0.186
20180727,0.17,-2.84,1.5,0.04,0.27
20180803,0.65,-0.09,0.15,0.041,-0.596
20180810,0.05,0.92,-0.8,0.041,0.316
20180817,0.46,-0.38,0.06,0.041,0.286
20180824,1.06,1.34,-0.98,0.041,-0.26
20180831,0.96,-0.05,-1.84,0.041,0.42
20180907,-1.14,-0.8,0.21,0.038,0.31
20180914,1.2,-0.41,-0.99,0.038,-0.168
20180921,0.54,-1.2,1.73,0.038,-0.268
20180928,-0.52,0.07,-2.65,0.038,0.024
20181005,-1.42,-3.21,3.35,0.047,0.35
20181012,-4.26,-0.76,-0.01,0.047,-0.594
20181019,-0.15,-1,0.52,0.047,0.014
20181026,-4.06,0.4,-1.05,0.047,0.274
20181102,2.88,1.62,0.54,0.044,-0.206
20181109,1.75,-2.61,1.18,0.044,-0.086
20181116,-1.65,0.28,0.27,0.044,0.362
20181123,-3.74,1.17,0.83,0.044,-0.384
20181130,4.78,-1.81,-1.68,0.044,-0.1775
20181207,-4.83,-0.68,-0.67,0.048,0.358
20181214,-1.45,-1.17,-1.86,0.048,0.3475
20181221,-7.32,-1.61,2.11,0.048,-0.06
20181228,3.14,1.11,-1.39,0.048,0.13
20190104,2.14,1.3,1.27,0.051,0.2675
20190111,2.95,2.22,-1.56,0.051,-1.1975
20190118,2.8,-0.85,0.89,0.051,-0.376
20190125,-0.28,0.09,-0.16,0.051,-0.1625
20190201,1.57,-0.37,-0.77,0.046,-0.118
20190208,0.09,0.29,-1.26,0.046,-0.106
20190215,2.73,1.57,0,0.046,0.224
20190222,0.64,0.98,-0.85,0.046,-0.29
20190301,0.5,-0.4,-1.28,0.048,-0.148
20190308,-2.55,-1.96,-0.25,0.048,0.134
20190315,2.83,-0.89,-0.45,0.048,0.308
20190322,-1.11,-1.43,-2.7,0.048,-0.162
20190329,1.27,1.07,-0.2,0.048,0.538
20190405,2.14,0.55,1.02,0.052,-0.396
20190412,0.55,-0.72,0.9,0.052,-0.418
20190418,-0.18,-1.04,0.49,0.052,0.08
20190426,1.24,0.21,-1.24,0.052,-0.38
20190503,0.27,0.66,0.36,0.051,0.344
20190510,-2.22,-0.14,-0.05,0.051,0.266
20190517,-1.02,-1.49,-0.68,0.051,0.52
20190524,-1.3,-0.53,-0.19,0.051,0.222
20190531,-2.71,-0.49,-1.05,0.051,0.46
20190607,4.27,-1.25,-0.54,0.045,0.404
20190614,0.46,-0.02,-0.07,0.045,0.236
20190621,2.21,0.08,-1.67,0.045,0.046
20190628,-0.11,1.43,1.58,0.045,0.002
20190705,1.56,-1.23,-0.39,0.048,-0.5
20190712,0.72,-1.39,-0.25,0.048,0.605
20190719,-1.22,-0.29,-0.71,0.048,0.056
20190726,1.75,-0.25,0.88,0.048,0.076
20190802,-3.45,0.37,-0.81,0.041,0.136
20190809,-0.61,-0.7,-1.97,0.041,0.37
20190816,-1.17,0.26,-1.26,0.041,0.648
20190823,-1.57,-0.7,-0.3,0.041,0.066
20190830,2.7,-0.55,0.35,0.041,0.33
20190906,1.61,-1.22,1.36,0.044,-0.295
20190913,1.33,2.89,4.95,0.044,-1.316
20190920,-0.64,-0.55,-0.93,0.044,-1.034
20190927,-1.36,-1.81,2.01,0.044,0.762
20191004,-0.4,-0.43,-2.37,0.038,0.16
20191011,0.69,-0.48,0.21,0.038,0.498
20191018,0.47,0.75,0.51,0.038,-0.05
20191025,1.38,0.32,0.69,0.038,-0.108
20191101,1.47,0.43,-0.52,0.031,-0.522
20191108,1.01,-0.56,2.2,0.031,-0.602
20191115,0.78,-0.67,-1.79,0.031,-0.062
20191122,-0.19,-0.04,-1.62,0.031,0.492
20191129,1.13,1.6,-1.67,0.031,-0.362
20191206,0.1,0.5,0.76,0.035,0.06
20191213,0.74,0.18,0.78,0.035,-0.056
20191220,1.71,0.32,-0.01,0.035,-0.03
20191227,0.49,-0.49,-0.42,0.035,-0.208
20200103,-0.12,-0.33,0.36,0.032,0.22
20200110,0.94,-0.95,-2.27,0.032,-0.075
20200117,2,0.64,-1.31,0.032,0.496
20200124,-1.14,-1.26,-0.98,0.032,0.0625
20200131,-2.05,-1.06,-1.47,0.032,0.532
20200207,3.13,-0.38,-0.72,0.03,0.398
20200214,1.73,-0.02,-0.87,0.03,-0.008
20200221,-1.06,0.72,0.06,0.03,-0.0775
20200228,-11.5,0.7,-2.31,0.03,0.01
20200306,0.1,-1.5,-4.99,0.031,0.646
20200313,-9.7,-5.8,-3.43,0.031,1.208
20200320,-14.56,1.87,-5.69,0.031,-0.472
20200327,10.31,-1.33,1.03,0.031,0.304
20200403,-2.48,-2.05,-5.16,0.001,0.64
20200409,12.35,2.64,7.63,0.001,-0.464
20200417,3.25,-1.78,-8.5,0.001,-0.945
20200424,-0.86,2.43,-1.95,0.001,0.878
20200501,0.01,2.43,4.74,0.002,-0.87
20200508,4.24,2.22,-3.44,0.002,-0.822
20200515,-2.2,-1.11,-7.28,0.002,0.246
20200522,3.59,3.27,3.94,0.002,-0.458
20200529,2.98,-1.16,3.63,0.002,-0.1875
20200605,4.97,0.39,9.9,0.003,-0.962
20200612,-4.72,-1.23,-5.24,0.003,-3.926
20200619,2.29,1.33,-3.16,0.003,2.412
20200626,-2.83,0.9,-4.15,0.003,0.888
20200702,4.04,0.7,-1.68,0.003,0.284
20200710,2.1,-1.87,-1.33,0.003,0.84
20200717,1.2,1.84,2.42,0.003,0.448
20200724,-0.31,-0.27,2.85,0.003,0.504
20200731,1.73,-0.59,-2.61,0.003,-0.548
20200807,2.7,3.38,1.61,0.002,0.738
20200814,0.74,0.2,1.77,0.002,-1.332
20200821,0.86,-1.61,-5.19,0.002,0.478
20200828,3.19,-1.44,0.89,0.002,0.13
20200904,-2.47,-0.87,2.28,0.002,0.41
20200911,-2.58,-0.08,-1.37,0.002,-1.205
20200918,0.01,2.75,-0.91,0.002,0.558
20200925,-0.62,-2.91,-4.24,0.002,0.408
20201002,1.85,2.98,1.74,0.002,0.402
20201009,4.25,2.52,-0.26,0.002,0.176
20201016,0.31,0.07,-0.52,0.002,0.098
20201023,-0.51,0.68,3.08,0.002,0.146
20201030,-5.74,-0.95,0.03,0.002,-0.652
20201106,7.69,0.12,-4.9,0.002,-0.386
20201113,1.95,2.26,7.22,0.002,-1.68
20201120,0.17,2.59,0.5,0.002,-0.432
20201127,2.86,1.28,1.31,0.002,-0.326
20201204,1.76,0.47,0.33,0.002,0.63
20201211,-0.48,1.92,-1.62,0.002,-0.782
20201218,1.84,2.03,-3.57,0.002,0.062
20201224,0.15,1.35,0.1,0.002,0.74
20201231,0.72,-2.17,1.12,0.002,-0.155
20210108,2.52,3.55,2.25,0.001,-0.3275
20210115,-1.03,2.28,2.22,0.001,-0.37
20210122,2.08,1.84,-3.04,0.001,-0.185
20210129,-3.48,0.05,0.77,0.001,0.846
20210205,5.27,2.04,-1.95,0.001,0.254
20210212,1.63,1.91,1.03,0.001,-0.112
20210219,-0.82,-1.35,3.12,0.001,0.255
20210226,-3.15,-0.67,4.83,0.001,-1.16
20210305,0.07,-1.45,7.6,0.001,-0.07
20210312,3.36,4.64,1.58,0.001,-2.352
20210319,-1.04,-1.37,-0.4,0.001,1.402
20210326,0.57,-4.09,0.17,0.001,-0.4
20210401,1.39,0.47,-1.59,0,-1.486
20210409,2.45,-2.58,-1.31,0,1.065
20210416,1.32,-0.97,-0.04,0,0.122
20210423,-0.1,0.74,-0.78,0,-0.3
20210430,-0.11,-0.71,1.36,0,0.61
20210507,0.53,-1.24,6.31,0,-0.364
20210514,-1.55,-0.82,2.44,0,-0.388
20210521,-0.16,0.64,-1.06,0,-0.14
20210528,1.49,1.26,-0.74,0,0.116
20210604,0.51,0.08,1.63,0,0.7975
20210611,0.82,2.12,-3.94,0,0.05
20210618,-1.81,-0.83,-4.95,0,-0.526
20210625,2.97,1.18,0.98,0,-0.132
20210702,1.28,-2.39,-1.65,0.001,0.382
20210709,0.2,-0.82,-1.16,0.001,-0.06
20210716,-1.73,-3,0.05,0.001,-0.07
